season,season_elo,team_id
2014,1330.42695437,1101
2015,1215.47514307,1101
2016,1222.17327313,1101
2017,1238.53765533,1101
1985,1410.25429688,1102
1986,1345.31647347,1102
1987,1362.41165739,1102
1988,1312.22552906,1102
1989,1384.3249207,1102
1990,1392.98981599,1102
1991,1340.7123281,1102
1992,1300.73174259,1102
1993,1299.60763866,1102
1994,1277.86602367,1102
1995,1300.59758249,1102
1996,1250.83515377,1102
1997,1275.32963104,1102
1998,1299.86363217,1102
1999,1340.53807129,1102
2000,1321.34901292,1102
2001,1330.37086199,1102
2002,1365.80408082,1102
2003,1445.17890447,1102
2004,1642.23370328,1102
2005,1681.01489038,1102
2006,1741.19540131,1102
2007,1795.90659312,1102
2008,1669.61939045,1102
2009,1499.28358937,1102
2010,1422.50765414,1102
2011,1503.57480861,1102
2012,1484.29469126,1102
2013,1565.60954128,1102
2014,1474.31444636,1102
2015,1497.94605156,1102
2016,1452.40341416,1102
2017,1434.20535614,1102
1985,1447.07834796,1103
1986,1533.54377396,1103
1987,1569.66547642,1103
1988,1612.44806172,1103
1989,1660.80128979,1103
1990,1571.36003034,1103
1991,1498.01874331,1103
1992,1467.25841401,1103
1993,1376.56783652,1103
1994,1326.34222338,1103
1995,1309.65856896,1103
1996,1249.04949514,1103
1997,1334.84010597,1103
1998,1514.46355706,1103
1999,1591.51833909,1103
2000,1595.25610574,1103
2001,1522.89591208,1103
2002,1430.22901777,1103
2003,1488.83060909,1103
2004,1492.70521711,1103
2005,1593.40221306,1103
2006,1674.54458646,1103
2007,1759.9620697,1103
2008,1717.3355556,1103
2009,1694.87614956,1103
2010,1674.44610391,1103
2011,1658.27281707,1103
2012,1690.71989494,1103
2013,1755.62353781,1103
2014,1661.24870497,1103
2015,1623.98151011,1103
2016,1673.08310098,1103
2017,1684.50817906,1103
1985,1622.18131591,1104
1986,1701.37394604,1104
1987,1812.22379024,1104
1988,1628.45152255,1104
1989,1718.02562951,1104
1990,1776.8728673,1104
1991,1789.68643359,1104
1992,1778.95525732,1104
1993,1734.45053681,1104
1994,1731.34238655,1104
1995,1786.70424021,1104
1996,1707.68904967,1104
1997,1681.91791177,1104
1998,1649.3215337,1104
1999,1650.67713795,1104
2000,1615.83043534,1104
2001,1722.99217119,1104
2002,1819.5277183,1104
2003,1800.85586937,1104
2004,1820.32288517,1104
2005,1895.52090121,1104
2006,1824.24112996,1104
2007,1772.99974849,1104
2008,1743.14790295,1104
2009,1735.88948748,1104
2010,1734.78218941,1104
2011,1774.67869061,1104
2012,1819.89333689,1104
2013,1809.50979225,1104
2014,1715.49667802,1104
2015,1735.03978379,1104
2016,1740.43844337,1104
2017,1762.17855251,1104
2000,1468.38852136,1105
2001,1433.9158602,1105
2002,1446.60552603,1105
2003,1288.17140088,1105
2004,1250.66730512,1105
2005,1325.60248862,1105
2006,1314.0879804,1105
2007,1207.52324762,1105
2008,1230.02615468,1105
2009,1160.66032613,1105
2010,1147.87617756,1105
2011,1177.42700289,1105
2012,1104.74113376,1105
2013,1100.41382943,1105
2014,1155.28790218,1105
2015,1133.43873165,1105
2016,1138.43833825,1105
2017,1023.72835651,1105
1985,1459.90961732,1106
1986,1408.04948851,1106
1987,1390.55102377,1106
1988,1309.42650063,1106
1989,1354.51426449,1106
1990,1373.12066874,1106
1991,1425.86601998,1106
1992,1389.58035867,1106
1993,1397.1977206,1106
1994,1449.15691144,1106
1995,1378.79249098,1106
1996,1226.89053325,1106
1997,1206.10195652,1106
1998,1229.19646417,1106
1999,1255.77592375,1106
2000,1287.81922434,1106
2001,1434.85797404,1106
2002,1421.10769646,1106
2003,1360.79424233,1106
2004,1358.88370732,1106
2005,1324.14824056,1106
2006,1282.81859465,1106
2007,1219.2533316,1106
2008,1345.34608454,1106
2009,1416.12000125,1106
2010,1367.84657774,1106
2011,1328.2575368,1106
2012,1240.48341529,1106
2013,1152.31430538,1106
2014,1216.00088377,1106
2015,1282.89534189,1106
2016,1250.87179999,1106
2017,1133.47736942,1106
2000,1356.83050393,1107
2001,1197.51801742,1107
2002,1166.86859171,1107
