PlayerID,Season,TeamID,PlayerName
600001,2010,1102,BOHANNON_ZACH
600002,2010,1102,BRAKEVILLE_ADAM
600003,2010,1102,BROEKHUIS_TAYLOR
600004,2010,1102,BROOKS_DEREK
600005,2010,1102,EL-AMIN_SAJ
600006,2010,1102,FITZGERALD_MIKE
600007,2010,1102,FLETCHER_TODD
600008,2010,1102,FOW_TOM
600009,2010,1102,GREEN_KYLE
600010,2010,1102,HEMPSEY_SHAWN
600011,2010,1102,LYONS_MICHAEL
600012,2010,1102,MCLAIN_MIKE
600013,2010,1102,MERRIEX_AVERY
600014,2010,1102,PARKER_GRANT
600015,2010,1102,SCHAFER_SAMMY
600016,2010,1102,STEWART_TAYLOR
600017,2010,1102,TEAM
600018,2010,1102,WASHINGTON_EVAN
600019,2010,1103,BARDO_MIKE
600020,2010,1103,CARROLL_TIM
600021,2010,1103,CONYERS_JIMMY
600022,2010,1103,CVETINOVIC_NIKOLA
600023,2010,1103,HITCHENS_ANTHONY
600024,2010,1103,MARSHALL_ZEKE
600025,2010,1103,MCCLANAHAN_BRETT
600026,2010,1103,MCKNIGHT_BRETT
600027,2010,1103,MCKNIGHT_CHRIS
600028,2010,1103,MCNEES_STEVE
600029,2010,1103,PETERSEN_KYLE
600030,2010,1103,ROBERTS_DARRYL
600031,2010,1103,STEWARD_RONNIE
600032,2010,1103,SULLIVAN_ALEX
600033,2010,1103,SWIECH_STEVE
600034,2010,1103,TEAM
600035,2010,1104,BROCK_ANTHONY
600036,2010,1104,CAGE_GREG
600037,2010,1104,DAVIS_CHARVEZ
600038,2010,1104,DIXON_CHRIS
600039,2010,1104,EBLEN_BEN
600040,2010,1104,GREEN_JAMYCHAL
600041,2010,1104,HILLMAN_SENARIO
600042,2010,1104,HINES_CHRIS
600043,2010,1104,KNOX_JUSTIN
600044,2010,1104,LUQUIRE_JUSTIN
600045,2010,1104,MITCHELL_TONY
600046,2010,1104,STEELE_ANDREW
600047,2010,1104,TEAM
600048,2010,1104,TORRANCE_MIKHAIL
600049,2010,1105,ADAMS_ANTONIO
600050,2010,1105,AMUSA_BO
600051,2010,1105,ANDREWS_PIERRE
600052,2010,1105,CANTEY_CASEY
600053,2010,1105,DESHIELDS_JABARI
600054,2010,1105,FRAYER_ALFRED
600055,2010,1105,HAMILTON_ROYCE
600056,2010,1105,HESTER_CORNELIUS
600057,2010,1105,HILTON_EVAN
600058,2010,1105,INMAN_JONATHAN
600059,2010,1105,JACKSON_DESMOND
600060,2010,1105,KEMP_MAURICE
600061,2010,1105,LEE_MARCUS
