ID,Pred
2014_1107_1110,0.441944692372
2014_1107_1112,0.0406719364201
2014_1107_1113,0.136355299907
2014_1107_1124,0.0559599289498
2014_1107_1140,0.168765941316
2014_1107_1142,0.576289271712
2014_1107_1153,0.102996845429
2014_1107_1157,0.584205356157
2014_1107_1160,0.184426905356
2014_1107_1163,0.0557195122169
2014_1107_1166,0.0744840940221
2014_1107_1173,0.122786345358
2014_1107_1174,0.286942651024
2014_1107_1181,0.0739176240079
2014_1107_1184,0.355570820742
2014_1107_1196,0.034620664626
2014_1107_1203,0.171980325273
2014_1107_1211,0.0728320622658
2014_1107_1217,0.147439594659
2014_1107_1234,0.117650508225
2014_1107_1235,0.0546758957209
2014_1107_1242,0.0457575473461
2014_1107_1243,0.136184895853
2014_1107_1246,0.054358038908
2014_1107_1257,0.0407873054223
2014_1107_1264,0.266977372342
2014_1107_1269,0.304918252992
2014_1107_1272,0.109444700915
2014_1107_1273,0.250880059259
2014_1107_1276,0.0538550801008
2014_1107_1277,0.0422050654232
2014_1107_1291,0.57963358806
2014_1107_1295,0.287910298422
2014_1107_1300,0.322470924602
2014_1107_1301,0.106511726312
2014_1107_1304,0.207571354705
2014_1107_1307,0.111370007194
2014_1107_1308,0.249948896059
2014_1107_1314,0.0741566148852
2014_1107_1326,0.0625849449662
2014_1107_1328,0.115626342934
2014_1107_1329,0.104873651924
2014_1107_1332,0.0778045404432
2014_1107_1338,0.0660632670851
2014_1107_1344,0.0863643355963
2014_1107_1361,0.0745746982527
2014_1107_1372,0.190998564845
2014_1107_1386,0.157228524328
2014_1107_1387,0.139550678473
2014_1107_1390,0.111682914279
2014_1107_1393,0.0500809341242
2014_1107_1397,0.0639875845131
2014_1107_1400,0.104399371298
2014_1107_1409,0.29052539848
2014_1107_1411,0.639284120967
2014_1107_1417,0.0544206103057
2014_1107_1418,0.344952153333
2014_1107_1433,0.0885267035008
2014_1107_1437,0.0480966278026
2014_1107_1438,0.0431784598661
2014_1107_1444,0.370625267292
2014_1107_1451,0.489535766152
2014_1107_1454,0.457950744265
2014_1107_1455,0.0480126973446
2014_1107_1458,0.0398540536305
2014_1107_1459,0.57746868035
2014_1107_1462,0.168749695938
2014_1110_1112,0.0442079437907
2014_1110_1113,0.156129323403
2014_1110_1124,0.0877547715967
2014_1110_1140,0.183600775519
2014_1110_1142,0.569321701429
2014_1110_1153,0.089457554014
2014_1110_1157,0.580061533488
2014_1110_1160,0.161901030895
2014_1110_1163,0.0755063104332
2014_1110_1166,0.068212628476
2014_1110_1173,0.1773346161
2014_1110_1174,0.281557294808
2014_1110_1181,0.0623514997029
2014_1110_1184,0.385467580612
2014_1110_1196,0.0409003164746
2014_1110_1203,0.167213171901
2014_1110_1211,0.0777701680373
2014_1110_1217,0.185473429295
2014_1110_1234,0.136513248773
2014_1110_1235,0.0700876650009
2014_1110_1242,0.0562881721626
2014_1110_1243,0.130460631195
2014_1110_1246,0.0769058224382
2014_1110_1257,0.0469810081403
2014_1110_1264,0.260905457293
2014_1110_1269,0.279682602218
2014_1110_1272,0.128032327815
2014_1110_1273,0.317131867206
2014_1110_1276,0.0614186723128
2014_1110_1277,0.0548756381746
2014_1110_1291,0.574630969144
2014_1110_1295,0.236892253076
2014_1110_1300,0.359802812554
2014_1110_1301,0.150403042566
2014_1110_1304,0.188186942997
2014_1110_1307,0.0976472652816
2014_1110_1308,0.248522820395
2014_1110_1314,0.0929537932195
2014_1110_1326,0.07420323697
2014_1110_1328,0.117359488806
2014_1110_1329,0.110817539727
2014_1110_1332,0.10548417337
2014_1110_1338,0.0747878860812
2014_1110_1344,0.141593757198
2014_1110_1361,0.0809857556932
2014_1110_1372,0.205397783332
2014_1110_1386,0.179140707431
2014_1110_1387,0.124123049384
2014_1110_1390,0.135805926407
2014_1110_1393,0.0602524045478
2014_1110_1397,0.113521571934
2014_1110_1400,0.118369657448
2014_1110_1409,0.259972109996
2014_1110_1411,0.650455463262
2014_1110_1417,0.0787193495419
2014_1110_1418,0.398315870135
